itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
777,2,119919,872846,UA,3622, ,1, ,1,J,UA,3622,EWR,YYZ
777,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
778,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
778,2,188375,282952,UA,8430, ,4, ,1,J,AC,8877,EWR,YYZ
778,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
779,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
779,2,188411,283161,UA,8432, ,5, ,1,J,AC,8881,EWR,YYZ
779,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
780,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
780,2,188468,283465,UA,8436, ,7, ,1,J,AC,8879,EWR,YYZ
780,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
781,1,96435,697421,UA,2345, ,8, ,1,J,UA,2345,ORD,LGA
781,2,182261,249637,UA,8020, ,4, ,1,J,AC,8989,LGA,YYZ
781,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
782,1,96435,697421,UA,2345, ,8, ,1,J,UA,2345,ORD,LGA
782,2,185282,266117,UA,8233, ,8, ,1,J,AC,8545,LGA,YYZ
782,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
783,1,96435,697421,UA,2345, ,8, ,1,J,UA,2345,ORD,LGA
783,2,187870,280188,UA,8403, ,6, ,1,J,AC,715,LGA,YYZ
783,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
784,1,96435,697421,UA,2345, ,8, ,1,J,UA,2345,ORD,LGA
784,2,190203,292839,UA,8573, ,8, ,1,J,AC,705,LGA,YYZ
784,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
785,1,92689,669453,UA,2280, ,5, ,1,J,UA,2280,ORD,MCO
785,2,53407,383139,UA,1520, ,4, ,1,J,UA,1520,MCO,DEN
785,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
786,1,45195,324024,UA,1357, ,14, ,1,J,UA,1357,ORD,IAD
786,2,116038,842835,UA,3453, ,2, ,1,J,UA,3453,IAD,YYZ
786,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
787,1,45195,324024,UA,1357, ,14, ,1,J,UA,1357,ORD,IAD
787,2,182238,249508,UA,8019, ,3, ,1,J,AC,8619,IAD,YYZ
787,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
788,1,99756,721610,UA,2413, ,7, ,1,J,UA,2413,ORD,SLC
