itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
667,2,121974,889025,UA,3704, ,2, ,1,J,UA,3704,ORD,CVG
667,3,129418,939615,UA,4462, ,7, ,1,J,UA,4462,CVG,EWR
668,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
668,2,145637,62059,UA,5518, ,6, ,1,J,UA,5518,ORD,CVG
668,3,129418,939615,UA,4462, ,7, ,1,J,UA,4462,CVG,EWR
669,1,54899,394054,UA,1549, ,12, ,1,J,UA,1549,IAH,IAD
669,2,116672,847763,UA,3481, ,7, ,1,J,UA,3481,IAD,CLE
669,3,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
670,1,90313,652071,UA,2245, ,6, ,1,J,UA,2245,IAH,MCO
670,2,57003,409344,UA,1597, ,1, ,1,J,UA,1597,MCO,CLE
670,3,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
671,1,61949,444670,UA,1703, ,5, ,1,J,UA,1703,IAH,ABQ
671,2,63958,459323,UA,1741, ,10, ,1,J,UA,1741,ABQ,DEN
671,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
672,1,75848,546011,UA,1970, ,16, ,1,J,UA,1970,IAH,DEN
672,2,20459,147508,UA,617, ,5, ,1,J,UA,617,DEN,ORD
672,3,38279,273638,UA,1209, ,6, ,2,J,UA,1209,ORD,EWR
673,1,75848,546011,UA,1970, ,16, ,1,J,UA,1970,IAH,DEN
673,2,23217,167819,UA,675, ,5, ,1,J,UA,675,DEN,ORD
673,3,38279,273638,UA,1209, ,6, ,2,J,UA,1209,ORD,EWR
674,1,75848,546011,UA,1970, ,16, ,1,J,UA,1970,IAH,DEN
674,2,31945,230045,UA,1023, ,7, ,1,J,UA,1023,DEN,ORD
674,3,38279,273638,UA,1209, ,6, ,2,J,UA,1209,ORD,EWR
675,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
675,2,67842,487995,UA,1811, ,12, ,2,J,UA,1811,ORD,MCO
675,3,96771,699741,UA,2354, ,14, ,2,J,UA,2354,MCO,EWR
676,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
676,2,23064,166762,UA,669, ,3, ,1,J,UA,669,ORD,FLL
676,3,33166,237828,UA,1067, ,16, ,1,J,UA,1067,FLL,EWR
677,1,155917,142225,UA,6186, ,5, ,1,J,UA,6186,IAH,MAF
677,2,136108,989337,UA,4807, ,3, ,1,J,UA,4807,MAF,DEN
677,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
678,1,28919,209133,UA,787, ,17, ,1,J,UA,787,IAH,ORD
678,2,33567,240638,UA,1077, ,9, ,1,J,UA,1077,ORD,DCA
678,3,128089,930539,UA,4408, ,14, ,1,J,UA,4408,DCA,EWR
679,1,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
679,2,44749,320783,UA,1349, ,23, ,2,J,UA,1349,ORD,MCO
679,3,105120,760814,UA,2602, ,8, ,1,J,UA,2602,MCO,EWR
680,1,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
680,2,85761,618476,UA,2165, ,11, ,1,J,UA,2165,ORD,MCO
680,3,105120,760814,UA,2602, ,8, ,1,J,UA,2602,MCO,EWR
681,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
681,2,18025,129811,UA,567, ,20, ,1,J,UA,567,ORD,PIT
681,3,128577,933912,UA,4426, ,4, ,1,J,UA,4426,PIT,EWR
682,1,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
682,2,32857,235784,UA,1057, ,6, ,1,J,UA,1057,ORD,TPA
682,3,16167,116593,UA,529, ,5, ,1,J,UA,529,TPA,EWR
683,1,96080,694799,UA,2339, ,7, ,2,J,UA,2339,IAH,DEN
683,2,39082,279449,UA,1225, ,5, ,1,J,UA,1225,DEN,FLL
683,3,105160,761086,UA,2603, ,8, ,1,J,UA,2603,FLL,EWR
684,1,100799,729201,UA,2433, ,4, ,1,J,UA,2433,IAH,DEN
684,2,87203,629155,UA,2188, ,10, ,1,J,UA,2188,DEN,FLL
684,3,101687,735745,UA,2445, ,6, ,1,J,UA,2445,FLL,EWR
685,1,85850,619132,UA,2167, ,6, ,1,J,UA,2167,IAH,DEN
685,2,26193,189586,UA,732, ,3, ,2,J,UA,732,DEN,MSP
685,3,121474,885095,UA,3681, ,10, ,1,J,UA,3681,MSP,EWR
686,1,122624,893417,UA,3990, ,5, ,1,J,UA,3990,IAH,SDF
686,2,124084,903531,UA,4067, ,5, ,1,J,UA,4067,SDF,IAD
686,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
687,1,81738,588549,UA,2090, ,18, ,2,J,UA,2090,IAH,MIA
687,2,54343,389952,UA,1538, ,6, ,1,J,UA,1538,MIA,IAD
687,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
688,1,31712,228492,UA,1014, ,1, ,1,J,UA,1014,IAH,CUN
688,2,35450,253661,UA,1133, ,1, ,1,J,UA,1133,CUN,IAD
688,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
689,1,98679,713683,UA,2393, ,6, ,1,J,UA,2393,IAH,AUS
689,2,9079,64925,UA,376, ,3, ,1,J,UA,376,AUS,IAD
689,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
690,1,98679,713683,UA,2393, ,6, ,1,J,UA,2393,IAH,AUS
690,2,96403,697198,UA,2344, ,6, ,1,J,UA,2344,AUS,IAD
690,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
691,1,23325,168568,UA,678, ,6, ,2,J,UA,678,IAH,LGA
691,2,123294,898086,UA,4019, ,6, ,1,J,UA,4019,LGA,IAD
691,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
692,1,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
692,2,148713,86504,UA,5668, ,7, ,1,J,UA,5668,ORD,MKE
692,3,116862,849269,UA,3489, ,3, ,2,J,UA,3489,MKE,EWR
693,1,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
693,2,152936,119965,UA,5933, ,7, ,1,J,UA,5933,ORD,MKE
693,3,116862,849269,UA,3489, ,3, ,2,J,UA,3489,MKE,EWR
694,1,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
694,2,154144,129481,UA,6017, ,1, ,1,J,UA,6017,ORD,MKE
694,3,116862,849269,UA,3489, ,3, ,2,J,UA,3489,MKE,EWR
695,1,45763,328145,UA,1371, ,8, ,2,J,UA,1371,IAH,SAT
695,2,13917,99884,UA,490, ,8, ,3,J,UA,490,SAT,DEN
695,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
696,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
696,2,129978,943428,UA,4491, ,2, ,1,J,UA,4491,ORD,STL
696,3,117179,851755,UA,3502, ,7, ,1,J,UA,3502,STL,EWR
697,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
697,2,130018,943695,UA,4494, ,6, ,1,J,UA,4494,ORD,STL
697,3,117179,851755,UA,3502, ,7, ,1,J,UA,3502,STL,EWR
698,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
698,2,130394,946255,UA,4516, ,2, ,1,J,UA,4516,ORD,STL
698,3,117179,851755,UA,3502, ,7, ,1,J,UA,3502,STL,EWR
699,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
699,2,42416,302961,UA,1316, ,9, ,2,J,UA,1316,ORD,SRQ
699,3,114653,831754,UA,3405, ,2, ,1,J,UA,3405,SRQ,EWR
700,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
700,2,119313,868220,UA,3595, ,6, ,1,J,UA,3595,ORD,PWM
700,3,131890,956592,UA,4590, ,1, ,1,J,UA,4590,PWM,EWR
701,1,54899,394054,UA,1549, ,12, ,1,J,UA,1549,IAH,IAD
701,2,120316,876022,UA,3635, ,3, ,1,J,UA,3635,IAD,PWM
701,3,131890,956592,UA,4590, ,1, ,1,J,UA,4590,PWM,EWR
702,1,54899,394054,UA,1549, ,12, ,1,J,UA,1549,IAH,IAD
702,2,131589,954527,UA,4574, ,2, ,1,J,UA,4574,IAD,PWM
