itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1220,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1221,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1221,2,19033,137201,UA,584, ,12, ,2,J,UA,584,IAH,DFW
1221,3,37303,266756,UA,1184, ,12, ,1,J,UA,1184,DFW,SFO
1222,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1222,2,47101,338267,UA,1388, ,9, ,1,J,UA,1388,IAH,DFW
1222,3,37303,266756,UA,1184, ,12, ,1,J,UA,1184,DFW,SFO
1223,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1223,2,68400,492042,UA,1823, ,8, ,2,J,UA,1823,IAH,SLC
1223,3,86764,625963,UA,2181, ,5, ,1,J,UA,2181,SLC,SFO
1224,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
1224,2,140449,20911,UA,5257, ,5, ,1,J,UA,5257,IAH,SLC
1224,3,86764,625963,UA,2181, ,5, ,1,J,UA,2181,SLC,SFO
1225,1,130048,943902,UA,4495, ,9, ,2,J,UA,4495,ORD,BUF
1225,2,120302,875924,UA,3634, ,8, ,1,J,UA,3634,BUF,IAD
1225,3,89744,647896,UA,2231, ,4, ,1,J,UA,2231,IAD,SFO
1226,1,121910,888510,UA,3701, ,4, ,1,J,UA,3701,ORD,ROC
1226,2,119063,866272,UA,3584, ,5, ,1,J,UA,3584,ROC,IAD
1226,3,89744,647896,UA,2231, ,4, ,1,J,UA,2231,IAD,SFO
1227,1,51583,370007,UA,1488, ,18, ,2,J,UA,1488,ORD,CLE
1227,2,23357,168808,UA,679, ,3, ,2,J,UA,679,CLE,LAX
1227,3,143605,46012,UA,5414, ,6, ,1,J,UA,5414,LAX,SFO
1228,1,139611,14399,UA,5215, ,5, ,1,J,UA,5215,ORD,GSP
1228,2,137647,999851,UA,4959, ,4, ,1,J,UA,4959,GSP,IAD
1228,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1229,1,130223,945088,UA,4505, ,2, ,1,J,UA,4505,ORD,SYR
1229,2,136926,994998,UA,4876, ,5, ,1,J,UA,4876,SYR,IAD
1229,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1230,1,129182,938026,UA,4448, ,4, ,1,J,UA,4448,ORD,GRR
1230,2,107616,779523,UA,2645, ,8, ,1,J,UA,2645,GRR,DEN
1230,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1231,1,119367,868667,UA,3597, ,4, ,2,J,UA,3597,ORD,CHS
1231,2,17623,127012,UA,557, ,2, ,1,J,UA,557,CHS,DEN
1231,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1232,1,65957,474199,UA,1778, ,5, ,1,J,UA,1778,ORD,OMA
1232,2,145004,57159,UA,5478, ,3, ,1,J,UA,5478,OMA,IAH
1232,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1233,1,17494,126101,UA,554, ,13, ,1,J,UA,554,ORD,ATL
1233,2,2875,19394,UA,235, ,3, ,1,J,UA,235,ATL,DEN
1233,3,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
1234,1,17494,126101,UA,554, ,13, ,1,J,UA,554,ORD,ATL
1234,2,2391,15901,UA,217, ,15, ,1,J,UA,217,ATL,EWR
1234,3,69420,499368,UA,1844, ,17, ,1,J,UA,1844,EWR,SFO
1235,1,17494,126101,UA,554, ,13, ,1,J,UA,554,ORD,ATL
1235,2,17593,126805,UA,556, ,14, ,1,J,UA,556,ATL,EWR
1235,3,69420,499368,UA,1844, ,17, ,1,J,UA,1844,EWR,SFO
1236,1,51466,369154,UA,1486, ,8, ,2,J,UA,1486,ORD,FLL
1236,2,101628,735339,UA,2444, ,9, ,1,J,UA,2444,FLL,DEN
1236,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1237,1,111430,808287,UA,2748, ,10, ,1,J,UA,2748,ORD,LAS
1237,2,58607,420737,UA,1631, ,18, ,1,J,UA,1631,LAS,LAX
1237,3,143605,46012,UA,5414, ,6, ,1,J,UA,5414,LAX,SFO
1238,1,49463,355327,UA,1437, ,9, ,1,J,UA,1437,ORD,IAH
1238,2,11563,82875,UA,434, ,17, ,3,J,UA,434,IAH,LAX
1238,3,141543,29483,UA,5316, ,2, ,1,J,UA,5316,LAX,SFO
1239,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1239,2,62335,447396,UA,1711, ,16, ,2,J,UA,1711,IAH,AUS
1239,3,4717,32390,UA,292, ,11, ,1,J,UA,292,AUS,SFO
1240,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1240,2,70079,504206,UA,1859, ,6, ,2,J,UA,1859,IAH,AUS
1240,3,4717,32390,UA,292, ,11, ,1,J,UA,292,AUS,SFO
1241,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1241,2,98679,713683,UA,2393, ,6, ,1,J,UA,2393,IAH,AUS
1241,3,4717,32390,UA,292, ,11, ,1,J,UA,292,AUS,SFO
1242,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
1242,2,103767,750905,UA,2483, ,9, ,1,J,UA,2483,IAH,AUS
1242,3,4717,32390,UA,292, ,11, ,1,J,UA,292,AUS,SFO
1243,1,97019,701539,UA,2361, ,3, ,1,J,UA,2361,ORD,LAX
1243,2,109569,794009,UA,2679, ,13, ,2,J,UA,2679,LAX,LAS
1243,3,40603,290123,UA,1267, ,6, ,1,J,UA,1267,LAS,SFO
1244,1,97019,701539,UA,2361, ,3, ,1,J,UA,2361,ORD,LAX
1244,2,140280,19532,UA,5249, ,15, ,1,J,UA,5249,LAX,LAS
1244,3,40603,290123,UA,1267, ,6, ,1,J,UA,1267,LAS,SFO
1245,1,95087,687158,UA,2326, ,7, ,1,J,UA,2326,ORD,TPA
1245,2,90474,653249,UA,2247, ,11, ,2,J,UA,2247,TPA,LAX
1245,3,143605,46012,UA,5414, ,6, ,1,J,UA,5414,LAX,SFO
1246,1,48791,350490,UA,1421, ,7, ,1,J,UA,1421,ORD,FLL
1246,2,19762,142549,UA,599, ,6, ,1,J,UA,599,FLL,IAD
1246,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
