itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
351,1,65591,471318,UA,1770, ,5, ,2,J,UA,1770,DEN,PDX
351,2,147541,77252,UA,5611, ,9, ,1,J,UA,5611,PDX,SFO
351,3,52675,377957,UA,1506, ,19, ,2,J,UA,1506,SFO,LAX
352,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
352,2,152615,117452,UA,5904, ,1, ,1,J,UA,5904,SFO,FAT
352,3,9886,70648,UA,398, ,10, ,1,J,UA,398,FAT,LAX
353,1,113149,820404,UA,2852, ,13, ,2,J,UA,2852,DEN,RNO
353,2,74647,536907,UA,1954, ,8, ,1,J,UA,1954,RNO,SFO
353,3,52675,377957,UA,1506, ,19, ,2,J,UA,1506,SFO,LAX
354,1,57221,410841,UA,1602, ,5, ,2,J,UA,1602,DEN,SMF
354,2,144661,54442,UA,5460, ,3, ,1,J,UA,5460,SMF,SFO
354,3,52675,377957,UA,1506, ,19, ,2,J,UA,1506,SFO,LAX
355,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
355,2,144341,51876,UA,5446, ,3, ,1,J,UA,5446,SFO,SBP
355,3,152528,116761,UA,5897, ,8, ,1,J,UA,5897,SBP,LAX
356,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
356,2,114406,829878,UA,2866, ,8, ,1,J,UA,2866,SFO,SBA
356,3,133034,965108,UA,4649, ,3, ,1,J,UA,4649,SBA,LAX
357,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
357,2,84666,610337,UA,2142, ,11, ,1,J,UA,2142,SFO,SAN
357,3,134418,975996,UA,4723, ,3, ,1,J,UA,4723,SAN,LAX
358,1,69131,497378,UA,1835, ,3, ,1,J,UA,1835,DEN,SAN
358,2,62746,450339,UA,1721, ,11, ,1,J,UA,1721,SAN,SFO
358,3,52675,377957,UA,1506, ,19, ,2,J,UA,1506,SFO,LAX
359,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
359,2,99134,717120,UA,2400, ,10, ,2,J,UA,2400,SFO,LAS
359,3,79006,568560,UA,2039, ,7, ,1,J,UA,2039,LAS,LAX
360,1,39606,283244,UA,1236, ,12, ,2,J,UA,1236,DEN,PHX
360,2,60677,435308,UA,1678, ,20, ,1,J,UA,1678,PHX,SFO
360,3,52675,377957,UA,1506, ,19, ,2,J,UA,1506,SFO,LAX
361,1,138476,5827,UA,5056, ,2, ,1,J,UA,5056,DEN,YQR
361,2,187294,277016,UA,8357, ,7, ,1,J,AC,8189,YQR,YVR
361,3,183627,256998,UA,8098, ,1, ,1,J,AC,554,YVR,LAX
362,1,148220,82595,UA,5646, ,5, ,1,J,UA,5646,DEN,SLC
362,2,135182,981967,UA,4763, ,6, ,1,J,UA,4763,SLC,SFO
362,3,52675,377957,UA,1506, ,19, ,2,J,UA,1506,SFO,LAX
363,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
363,2,154317,130851,UA,6027, ,1, ,1,J,UA,6027,SFO,BOI
363,3,134581,977269,UA,4730, ,5, ,1,J,UA,4730,BOI,LAX
364,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
364,2,64894,466282,UA,1757, ,7, ,2,J,UA,1757,SFO,RNO
364,3,147753,78949,UA,5621, ,2, ,1,J,UA,5621,RNO,LAX
365,1,67915,488547,UA,1812, ,3, ,1,J,UA,1812,DEN,SFO
365,2,99134,717120,UA,2400, ,10, ,2,J,UA,2400,SFO,LAS
365,3,108816,788261,UA,2667, ,15, ,1,J,UA,2667,LAS,LAX
366,1,70378,506261,UA,1865, ,10, ,2,J,UA,1865,DEN,SEA
366,2,148930,88243,UA,5676, ,12, ,1,J,UA,5676,SEA,SFO
366,3,52675,377957,UA,1506, ,19, ,2,J,UA,1506,SFO,LAX
367,1,55224,396294,UA,1561, ,13, ,1,J,UA,1561,DEN,SFO
367,2,114406,829878,UA,2866, ,8, ,1,J,UA,2866,SFO,SBA
367,3,133034,965108,UA,4649, ,3, ,1,J,UA,4649,SBA,LAX
368,1,55224,396294,UA,1561, ,13, ,1,J,UA,1561,DEN,SFO
368,2,154317,130851,UA,6027, ,1, ,1,J,UA,6027,SFO,BOI
368,3,134581,977269,UA,4730, ,5, ,1,J,UA,4730,BOI,LAX
369,1,138476,5827,UA,5056, ,2, ,1,J,UA,5056,DEN,YQR
369,2,187294,277016,UA,8357, ,7, ,1,J,AC,8189,YQR,YVR
369,3,191053,297480,UA,8628, ,1, ,1,J,AC,556,YVR,LAX
