itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
123,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
123,2,23325,168568,UA,678, ,6, ,2,J,UA,678,IAH,LGA
123,3,185349,266505,UA,8235, ,4, ,1,J,AC,8995,LGA,YYZ
124,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
124,2,154955,135678,UA,6120, ,2, ,1,J,UA,6120,IAH,LGA
124,3,185349,266505,UA,8235, ,4, ,1,J,AC,8995,LGA,YYZ
125,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
125,2,156665,147255,UA,6247, ,3, ,1,J,UA,6247,IAH,LGA
125,3,185349,266505,UA,8235, ,4, ,1,J,AC,8995,LGA,YYZ
126,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
126,2,47667,342391,UA,1397, ,16, ,1,J,UA,1397,IAH,EWR
126,3,183913,258555,UA,8119, ,9, ,1,J,AC,8883,EWR,YYZ
127,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
127,2,71439,513824,UA,1886, ,4, ,1,J,UA,1886,IAH,EWR
127,3,183913,258555,UA,8119, ,9, ,1,J,AC,8883,EWR,YYZ
128,1,127217,924502,UA,4358, ,3, ,1,J,UA,4358,LFT,IAH
128,2,15970,115220,UA,521, ,13, ,2,J,UA,521,IAH,LGA
128,3,185130,265252,UA,8227, ,8, ,1,J,AC,701,LGA,YYZ
129,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
129,2,39897,285232,UA,1246, ,4, ,1,J,UA,1246,IAH,DEN
129,3,188743,284898,UA,8456, ,5, ,1,J,AC,1040,DEN,YYZ
130,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
130,2,49905,358370,UA,1450, ,9, ,2,J,UA,1450,IAH,DEN
130,3,188743,284898,UA,8456, ,5, ,1,J,AC,1040,DEN,YYZ
131,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
131,2,75848,546011,UA,1970, ,16, ,1,J,UA,1970,IAH,DEN
131,3,188743,284898,UA,8456, ,5, ,1,J,AC,1040,DEN,YYZ
132,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
132,2,77838,560246,UA,2013, ,7, ,2,J,UA,2013,IAH,DEN
132,3,188743,284898,UA,8456, ,5, ,1,J,AC,1040,DEN,YYZ
133,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
133,2,52985,380298,UA,1507, ,4, ,1,J,UA,1507,IAH,BOS
133,3,190751,295771,UA,8611, ,4, ,1,J,AC,8697,BOS,YYZ
134,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
